UNSATURATED UNIT WT,SATURATED UNIT WT,VOID RATIO,COHESION,ANGLE OF FRICTION,HEIGHT,SLOPE ANGLE,FOS
19.29,19.38,0.658,30.2,12,8,33.69,1.694
19.39,19.57,0.627,36.7,10.5,8,33.69,1.877
19.4,19.75,0.597,45.8,11.5,8,33.69,2.273
19.29,19.58,0.624,36.9,11,8,33.69,1.914
19.39,19.68,0.608,38.4,12.5,8,33.69,2.031
19.1,19.27,0.69,28.4,10,8,33.69,1.549
19.2,19.55,0.63,33,9,8,33.69,1.68
19.3,19.74,0.61,40.1,9.5,8,33.69,1.971
19.3,19.74,0.61,42.2,10,8,33.69,2.075
19.2,19.68,0.62,35.6,9,8,33.69,1.782
19.2,19.74,0.61,39.7,9,8,33.69,1.941
19.2,19.62,0.62,34,9.5,8,33.69,1.741
19.3,19.74,0.61,42.9,10,8,33.69,2.102
19.3,19.42,0.662,29.2,16,8,33.69,1.821
19.02,19.07,0.715,32,6,8,45,1.359
19.02,19.26,0.749,25.6,6,8,45,1.139
19.06,19.5,0.638,29.8,8,8,45,1.346
19.01,19.07,0.715,24.2,6,8,45,1.094
19.09,19.39,0.666,21.2,12.5,8,45,1.186
19.09,19.15,0.703,29.6,7.5,8,45,1.321
19.14,19.17,0.703,22.88,12,8,45,1.227
19.19,19.54,0.642,23.4,14,8,45,1.301
19.022,19.1,0.708,20.9,12.5,8,45,1.179
19.2,19.57,0.637,23.9,13.5,8,45,1.303
19.11,19.21,0.694,21.6,14,8,45,1.242
19.19,19.37,0.67,22.8,14.5,8,45,1.295
19.39,19.6,0.622,37.9,12,8,45,1.745
19.42,19.73,0.6,39.4,11.5,8,45,1.78
19.48,19.83,0.585,45.9,12,8,45,2.022
19.06,19.13,0.704,24.8,8,8,45,1.175
19.29,19.38,0.658,30.2,12,8,45,1.476
19.39,19.57,0.627,36.7,10.5,8,45,1.652
19.4,19.75,0.597,45.8,11.5,8,45,2.008
19.29,19.58,0.624,36.9,11,8,45,1.683
19.39,19.68,0.608,38.4,12.5,8,45,1.78
19.1,19.27,0.69,28.4,10,8,45,1.359
19.2,19.55,0.63,33,9,8,45,1.482
19.3,19.74,0.61,40.1,9.5,8,45,1.745
19.3,19.74,0.61,42.2,10,8,45,1.837
19.2,19.68,0.62,35.6,9,8,45,1.575
19.2,19.74,0.61,39.7,9,8,45,1.721
19.2,19.62,0.62,34,9.5,8,45,1.534
19.3,19.74,0.61,42.9,10,8,45,1.862
19.3,19.42,0.662,29.2,16,8,45,1.57
19.02,19.07,0.715,32,6,8,26.67,1.641
19.02,19.26,0.749,25.6,6,8,26.67,1.391
19.06,19.5,0.638,29.8,8,8,26.67,1.657
19.01,19.07,0.715,24.2,6,8,26.67,1.338
19.09,19.39,0.666,21.2,12.5,8,26.67,1.525
19.09,19.15,0.703,29.6,7.5,8,26.67,1.62
19.14,19.17,0.703,22.88,12,8,26.67,1.569
19.19,19.54,0.642,23.4,14,8,26.67,1.687
19.022,19.1,0.708,20.9,12.5,8,26.67,1.516
19.2,19.57,0.637,23.9,13.5,8,26.67,1.683
19.11,19.21,0.694,21.6,14,8,26.67,1.612
19.19,19.37,0.67,22.8,14.5,8,26.67,1.686
19.39,19.6,0.622,37.9,12,8,26.67,2.179
19.42,19.73,0.6,39.4,11.5,8,26.67,2.211
19.48,19.83,0.585,45.9,12,8,26.67,2.497
19.06,19.13,0.704,24.8,8,8,26.67,1.457
19.29,19.38,0.658,30.2,12,8,26.67,1.868
19.39,19.57,0.627,36.7,10.5,8,26.67,2.049
19.4,19.75,0.597,45.8,11.5,8,26.67,2.474
19.29,19.58,0.624,36.9,11,8,26.67,2.092
19.39,19.68,0.608,38.4,12.5,8,26.67,2.226
19.1,19.27,0.69,28.4,10,8,26.67,1.701
19.2,19.55,0.63,33,9,8,26.67,1.832
19.3,19.74,0.61,40.1,9.5,8,26.67,2.141
19.3,19.74,0.61,42.2,10,8,26.67,2.254
19.2,19.68,0.62,35.6,9,8,26.67,1.939
19.2,19.74,0.61,39.7,9,8,26.67,2.105
19.2,19.62,0.62,34,9.5,8,26.67,1.9
19.3,19.74,0.61,42.9,10,8,26.67,2.282
19.3,19.42,0.662,29.2,16,8,26.67,2.032
